INFO   08:33:06 : Id:315180531461; 休眠电流:0.00uA; 接收电流:22.25mA; 电压:3.33V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:41:19 : Id:315180531420; 休眠电流:3.00uA; 接收电流:22.17mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:39 : Id:315180531543; 休眠电流:3.00uA; 接收电流:22.14mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:56 : Id:315180531249; 休眠电流:3.00uA; 接收电流:22.03mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:14 : Id:315180531473; 休眠电流:3.00uA; 接收电流:22.01mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:40 : Id:315180531430; 休眠电流:3.00uA; 接收电流:22.23mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:57 : Id:315180531539; 休眠电流:3.00uA; 接收电流:22.16mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:43:14 : Id:315180530587; 休眠电流:3.00uA; 接收电流:22.39mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:43:33 : Id:315180530477; 休眠电流:3.00uA; 接收电流:22.33mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:43:52 : Id:315180531569; 休眠电流:3.00uA; 接收电流:22.02mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:44:09 : Id:315180530594; 休眠电流:3.00uA; 接收电流:22.47mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:44:44 : Id:315180530657; 休眠电流:3.00uA; 接收电流:22.09mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:45:06 : Id:315180530631; 休眠电流:3.33uA; 接收电流:22.20mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:45:43 : Id:315180531461; 休眠电流:3.00uA; 接收电流:22.26mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:00 : Id:315180530480; 休眠电流:3.00uA; 接收电流:22.24mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:19 : Id:315180530666; 休眠电流:3.00uA; 接收电流:22.45mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:36 : Id:315180530415; 休眠电流:3.00uA; 接收电流:22.53mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:51 : Id:315180531457; 休眠电流:0.00uA; 接收电流:0.00mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:47:11 : Id:315180531457; 休眠电流:4.33uA; 接收电流:22.09mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:27 : Id:315180530577; 休眠电流:3.00uA; 接收电流:22.19mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:43 : Id:315180531370; 休眠电流:3.00uA; 接收电流:22.24mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:00 : Id:315180531385; 休眠电流:3.00uA; 接收电流:21.78mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:18 : Id:315180531578; 休眠电流:3.00uA; 接收电流:22.21mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:34 : Id:315180531393; 休眠电流:3.00uA; 接收电流:22.17mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:57 : Id:315180531460; 休眠电流:5.00uA; 接收电流:22.51mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:17 : Id:315180531355; 休眠电流:3.33uA; 接收电流:21.94mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:33 : Id:315180531545; 休眠电流:3.33uA; 接收电流:22.15mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:51 : Id:315180531538; 休眠电流:3.00uA; 接收电流:21.86mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:08 : Id:315180531456; 休眠电流:3.00uA; 接收电流:21.88mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:24 : Id:315180531351; 休眠电流:2.67uA; 接收电流:22.26mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:40 : Id:315180531484; 休眠电流:4.00uA; 接收电流:21.78mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:02 : Id:315180531428; 休眠电流:3.00uA; 接收电流:22.25mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:20 : Id:315180531493; 休眠电流:3.00uA; 接收电流:22.44mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:37 : Id:315180531356; 休眠电流:3.00uA; 接收电流:22.01mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:54 : Id:315180531581; 休眠电流:3.00uA; 接收电流:21.99mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:12 : Id:315180531396; 休眠电流:3.00uA; 接收电流:21.81mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:28 : Id:315180531376; 休眠电流:3.00uA; 接收电流:22.31mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:45 : Id:315180531568; 休眠电流:3.00uA; 接收电流:22.38mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:07 : Id:315180531593; 休眠电流:3.00uA; 接收电流:21.86mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:23 : Id:315180531413; 休眠电流:3.00uA; 接收电流:22.01mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:41 : Id:315180531259; 休眠电流:3.00uA; 接收电流:22.18mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:57 : Id:315180531500; 休眠电流:3.00uA; 接收电流:21.98mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:14 : Id:315180531404; 休眠电流:3.00uA; 接收电流:22.13mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:30 : Id:315180530634; 休眠电流:3.00uA; 接收电流:22.04mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:47 : Id:315180530639; 休眠电流:3.00uA; 接收电流:22.28mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:03 : Id:315180531421; 休眠电流:4.00uA; 接收电流:22.11mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:26 : Id:315180531444; 休眠电流:3.00uA; 接收电流:22.29mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:42 : Id:315180531362; 休眠电流:3.33uA; 接收电流:22.05mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:00 : Id:315180531424; 休眠电流:3.00uA; 接收电流:22.16mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:21 : Id:315180531383; 休眠电流:3.00uA; 接收电流:22.06mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:37 : Id:315180530646; 休眠电流:4.00uA; 接收电流:22.15mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:02 : Id:315180531596; 休眠电流:3.00uA; 接收电流:22.29mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:19 : Id:315180531564; 休眠电流:3.00uA; 接收电流:22.03mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:36 : Id:315180530478; 休眠电流:3.00uA; 接收电流:21.90mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:54 : Id:315180530320; 休眠电流:3.00uA; 接收电流:22.12mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:10 : Id:315180530591; 休眠电流:3.00uA; 接收电流:22.30mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:26 : Id:315180530327; 休眠电流:3.00uA; 接收电流:22.20mA; 电压:3.36V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:42 : Id:315180530408; 休眠电流:3.00uA; 接收电流:22.21mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:58 : Id:315180530494; 休眠电流:3.00uA; 接收电流:22.09mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:14 : Id:315180530388; 休眠电流:3.00uA; 接收电流:22.10mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:34 : Id:315180530662; 休眠电流:3.33uA; 接收电流:21.98mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:51 : Id:315180530675; 休眠电流:3.00uA; 接收电流:21.93mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:09 : Id:315180530619; 休眠电流:3.00uA; 接收电流:21.97mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:25 : Id:315180530620; 休眠电流:3.00uA; 接收电流:22.28mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:50 : Id:315180530613; 休眠电流:3.00uA; 接收电流:22.11mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:07 : Id:315180530721; 休眠电流:3.00uA; 接收电流:21.92mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:29 : Id:315180530601; 休眠电流:4.00uA; 接收电流:22.08mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:45 : Id:315180530532; 休眠电流:3.33uA; 接收电流:21.83mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:02 : Id:315180530336; 休眠电流:2.67uA; 接收电流:22.03mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:18 : Id:315180530558; 休眠电流:3.00uA; 接收电流:22.35mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:34 : Id:315180530561; 休眠电流:3.00uA; 接收电流:22.12mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:52 : Id:315180530667; 休眠电流:3.67uA; 接收电流:21.98mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:10 : Id:315180530608; 休眠电流:4.00uA; 接收电流:22.39mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:27 : Id:315180530500; 休眠电流:3.33uA; 接收电流:22.15mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:44 : Id:315180530560; 休眠电流:3.00uA; 接收电流:22.16mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:00 : Id:315180530339; 休眠电流:3.00uA; 接收电流:22.13mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:17 : Id:315180530557; 休眠电流:3.00uA; 接收电流:21.98mA; 电压:3.31V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:33 : Id:315180530654; 休眠电流:3.00uA; 接收电流:22.59mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:48 : Id:315180531471; 休眠电流:4.00uA; 接收电流:22.09mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:07 : Id:315180530706; 休眠电流:3.67uA; 接收电流:22.23mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:24 : Id:315180531557; 休眠电流:3.33uA; 接收电流:22.13mA; 电压:3.31V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:39 : Id:315180531509; 休眠电流:3.00uA; 接收电流:22.30mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:56 : Id:315180531537; 休眠电流:3.00uA; 接收电流:21.95mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:06:11 : Id:315180531251; 休眠电流:4.00uA; 接收电流:22.35mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:06:28 : Id:315180530623; 休眠电流:3.00uA; 接收电流:22.38mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:06:50 : Id:315180530674; 休眠电流:3.67uA; 接收电流:22.49mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:07:06 : Id:315180530719; 休眠电流:3.00uA; 接收电流:22.22mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:07:28 : Id:315180530486; 休眠电流:3.67uA; 接收电流:22.15mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:07:45 : Id:315180530552; 休眠电流:3.00uA; 接收电流:22.37mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:08:02 : Id:315180530703; 休眠电流:3.00uA; 接收电流:22.20mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:08:19 : Id:315180530718; 休眠电流:3.33uA; 接收电流:22.08mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:08:38 : Id:315180531387; 休眠电流:3.00uA; 接收电流:22.32mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:08:56 : Id:315180531468; 休眠电流:3.00uA; 接收电流:22.20mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:09:12 : Id:315180530445; 休眠电流:3.00uA; 接收电流:22.33mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:09:32 : Id:315180531394; 休眠电流:3.33uA; 接收电流:22.30mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:09:57 : Id:315180531380; 休眠电流:3.67uA; 接收电流:22.05mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:10:14 : Id:315180530687; 休眠电流:2.67uA; 接收电流:22.16mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:10:30 : Id:315180531432; 休眠电流:3.33uA; 接收电流:22.13mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:10:46 : Id:315180531388; 休眠电流:3.67uA; 接收电流:21.85mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:11:03 : Id:315180531256; 休眠电流:2.67uA; 接收电流:22.11mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:11:21 : Id:315180531381; 休眠电流:3.00uA; 接收电流:21.62mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:11:42 : Id:315180531242; 休眠电流:3.00uA; 接收电流:22.35mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:12:00 : Id:315180531504; 休眠电流:3.00uA; 接收电流:22.23mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:12:18 : Id:315180531548; 休眠电流:3.00uA; 接收电流:22.22mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:12:35 : Id:315180531354; 休眠电流:3.33uA; 接收电流:22.64mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:13:26 : Id:315180531494; 休眠电流:3.00uA; 接收电流:21.99mA; 电压:3.43V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:13:43 : Id:315180530679; 休眠电流:3.00uA; 接收电流:22.40mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:01 : Id:315180530661; 休眠电流:3.00uA; 接收电流:22.02mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:19 : Id:315180531571; 休眠电流:3.00uA; 接收电流:22.41mA; 电压:3.36V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:35 : Id:315180531389; 休眠电流:3.33uA; 接收电流:22.06mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:14:56 : Id:315180531391; 休眠电流:2.67uA; 接收电流:22.37mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:15:12 : Id:315180531462; 休眠电流:3.00uA; 接收电流:22.05mA; 电压:3.43V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:15:28 : Id:315180531550; 休眠电流:3.00uA; 接收电流:21.92mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:15:47 : Id:315180531531; 休眠电流:3.00uA; 接收电流:21.95mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:16:16 : Id:315180531237; 休眠电流:3.33uA; 接收电流:23.16mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:16:38 : Id:315180530696; 休眠电流:3.00uA; 接收电流:22.46mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:16:54 : Id:315180531241; 休眠电流:3.00uA; 接收电流:22.18mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:17:11 : Id:315180530512; 休眠电流:3.00uA; 接收电流:22.25mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:17:26 : Id:315180531536; 休眠电流:3.33uA; 接收电流:21.90mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:17:44 : Id:315180531621; 休眠电流:3.00uA; 接收电流:22.39mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:18:00 : Id:315180531255; 休眠电流:3.00uA; 接收电流:22.05mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:18:16 : Id:315180531549; 休眠电流:3.00uA; 接收电流:22.22mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:18:39 : Id:315180530479; 休眠电流:3.00uA; 接收电流:22.03mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:19:08 : Id:315180531574; 休眠电流:3.00uA; 接收电流:22.37mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:19:25 : Id:315180531491; 休眠电流:4.67uA; 接收电流:22.25mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:19:41 : Id:315180531546; 休眠电流:3.00uA; 接收电流:22.12mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:19:58 : Id:315180530487; 休眠电流:3.00uA; 接收电流:22.40mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:20:15 : Id:315180530616; 休眠电流:3.00uA; 接收电流:23.38mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:20:32 : Id:315180530726; 休眠电流:3.00uA; 接收电流:22.21mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:21:22 : Id:315180530678; 休眠电流:3.00uA; 接收电流:22.33mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:21:38 : Id:315180530529; 休眠电流:3.00uA; 接收电流:22.50mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:21:56 : Id:315180530584; 休眠电流:3.33uA; 接收电流:22.14mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:22:13 : Id:315180531367; 休眠电流:2.67uA; 接收电流:21.69mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:22:30 : Id:315180530635; 休眠电流:3.00uA; 接收电流:22.40mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:22:47 : Id:315180530592; 休眠电流:3.00uA; 接收电流:22.13mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:23:08 : Id:315180530505; 休眠电流:3.00uA; 接收电流:22.05mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:23:42 : Id:315180530660; 休眠电流:3.00uA; 接收电流:22.18mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:23:58 : Id:315180530633; 休眠电流:3.00uA; 接收电流:21.91mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:24:16 : Id:315180530548; 休眠电流:2.67uA; 接收电流:21.91mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:24:34 : Id:315180530598; 休眠电流:3.33uA; 接收电流:22.26mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:24:52 : Id:315180530722; 休眠电流:2.67uA; 接收电流:22.13mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:25:07 : Id:315180530368; 休眠电流:3.00uA; 接收电流:22.19mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:25:25 : Id:315180530581; 休眠电流:3.33uA; 接收电流:22.35mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:25:42 : Id:315180530509; 休眠电流:3.00uA; 接收电流:24.40mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:26:07 : Id:315180530575; 休眠电流:3.00uA; 接收电流:22.18mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:26:24 : Id:315180530625; 休眠电流:2.67uA; 接收电流:22.26mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:26:39 : Id:315180530681; 休眠电流:3.00uA; 接收电流:22.18mA; 电压:3.43V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:26:55 : Id:315180530570; 休眠电流:3.00uA; 接收电流:22.43mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:27:12 : Id:315180530582; 休眠电流:3.00uA; 接收电流:21.82mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:27:29 : Id:315180530542; 休眠电流:3.33uA; 接收电流:22.04mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:27:43 : Id:315180530708; 休眠电流:0.00uA; 接收电流:22.17mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   09:27:56 : Id:315180530708; 休眠电流:3.00uA; 接收电流:22.21mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:28:12 : Id:315180530536; 休眠电流:2.67uA; 接收电流:21.99mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
